Sec	Nsec	OrientX	OrientY	OrientZ	OrientW	AngVelX	AngVelY	AngVelZ	AccX	AccY	AccZ
 1620117191	  423449031	0.02220	-0.00966	0.69532	0.71829	0.00426	-0.00532	0.01064	0.41480	0.14844	9.94432
 1620117191	  525449031	0.01893	-0.00956	0.69577	0.71794	0.00000	0.00000	0.01064	0.40342	0.13886	9.92576
 1620117191	  625449031	0.01930	-0.00982	0.69617	0.71754	0.00000	0.00000	0.01064	0.40402	0.13527	9.92397
 1620117191	  832449031	0.01634	-0.00898	0.69665	0.71717	0.00000	0.00639	0.01171	0.39983	0.12869	9.95270
 1620117191	  839449031	0.02309	-0.01530	0.69699	0.71654	0.00000	0.00958	0.01064	0.41120	0.10175	9.92995
 1620117191	  886449031	0.02006	-0.01207	0.69720	0.71648	0.00000	0.00851	0.01064	0.39923	0.11911	9.92277
 1620117191	  997449031	0.01683	-0.00907	0.69771	0.71612	0.00000	0.00958	0.01171	0.38547	0.12450	9.93713
 1620117192	  120449031	0.02032	-0.01095	0.69815	0.71557	0.00000	0.00639	0.01171	0.39804	0.11313	9.92217
 1620117192	  219449031	0.01828	-0.00938	0.69853	0.71528	0.00000	0.00000	0.00958	0.39145	0.12749	9.93294
 1620117192	  313449031	0.01769	-0.00975	0.69888	0.71495	-0.00426	0.00000	0.00851	0.39205	0.11732	9.95389
 1620117192	  424449031	0.01707	-0.01147	0.69930	0.71453	-0.00745	-0.00532	0.00958	0.39863	0.12989	9.91858
 1620117192	  515449031	0.01731	-0.01031	0.69955	0.71429	-0.00745	-0.00639	0.00958	0.39085	0.11552	9.91978
 1620117192	  674449031	0.01836	-0.01058	0.69999	0.71383	0.00000	-0.01064	0.00851	0.39804	0.12929	9.92277
 1620117193	   62449031	0.01275	0.00908	0.70087	0.71311	0.00426	0.00000	0.00639	0.38846	0.11791	9.94073
 1620117193	   90449031	0.01371	0.00592	0.70100	0.71300	0.00000	0.00000	0.00639	0.38666	0.12989	9.92696
 1620117193	  194449031	0.01647	-0.00341	0.70130	0.71266	0.00000	0.00426	0.00532	0.39085	0.12091	9.98382
 1620117193	  227449031	0.01769	-0.00697	0.70138	0.71253	0.00000	0.00639	0.00532	0.39624	0.12390	9.93414
 1620117193	  346449031	0.01529	-0.01076	0.70165	0.71227	0.00000	0.00958	0.00426	0.39205	0.11193	9.92816
 1620117197	  274590972	0.02047	-0.01062	0.69370	0.71989	0.00000	-0.00958	0.00000	0.38726	0.11013	9.93893
 1620117197	  294590972	0.01901	-0.01054	0.69373	0.71990	0.00000	-0.00851	0.00000	0.40223	0.11372	9.93833
 1620117197	  367590972	0.01807	-0.00964	0.69374	0.71993	0.00000	-0.00532	0.00000	0.40701	0.12330	9.95150
 1620117197	  399590972	0.01811	-0.01027	0.69374	0.71992	0.00000	-0.00639	0.00000	0.40761	0.12570	9.95689
 1620117197	  512590972	0.01768	-0.01040	0.69375	0.71992	0.00000	0.00000	0.00000	0.39085	0.11492	9.93773
 1620117197	  630590972	0.01908	-0.01214	0.69373	0.71987	0.00000	0.00000	0.00000	0.39025	0.11492	9.92456
 1620117197	  857590972	0.01022	-0.00132	0.69380	0.72009	0.00000	0.00639	0.00000	0.37469	0.12031	9.91738
 1620117197	  943590972	0.01568	-0.00764	0.69380	0.71995	0.00426	0.00851	0.00426	0.40582	0.12749	9.90900
 1620117198	   99590972	0.01846	-0.01004	0.69391	0.71975	0.00532	0.00639	0.00426	0.39085	0.12330	9.96886
 1620117198	  106590972	0.01826	-0.00958	0.69393	0.71974	0.00532	0.00639	0.00426	0.39205	0.12570	9.96167
 1620117198	  199590972	0.01782	-0.00893	0.69410	0.71960	0.00426	0.00426	0.00532	0.37409	0.12869	9.90661
 1620117198	  636590972	0.01842	-0.00991	0.69509	0.71861	0.00000	-0.00851	0.00745	0.37350	0.11013	9.90122
 1620117198	  723590972	0.01899	-0.01035	0.69529	0.71840	0.00000	-0.00958	0.00745	0.40462	0.12570	9.92277
 1620117198	  952442045	0.01996	-0.01115	0.69595	0.71772	0.00000	-0.00745	0.00851	0.40642	0.10475	9.91858
 1620117199	  736442045	0.01762	-0.01036	0.69865	0.71517	0.00000	0.00000	0.01064	0.38906	0.11133	9.96826
 1620117199	  768442045	0.01747	-0.00995	0.69877	0.71506	0.00000	0.00426	0.00851	0.38307	0.11073	9.94192
 1620117200	  351442045	0.01933	-0.00947	0.70057	0.71326	0.00426	-0.00958	0.00851	0.39863	0.13168	9.91858
 1620117200	  767442045	0.01765	-0.00983	0.70150	0.71238	0.00000	0.00000	0.00426	0.37469	0.11013	9.94013
 1620117200	  898442045	0.01721	-0.01009	0.70151	0.71237	0.00000	0.00000	0.00000	0.38307	0.10295	9.93414
 1620117201	  442726043	0.01883	-0.00805	0.70156	0.71231	0.00000	0.00000	0.00000	0.39983	0.11732	9.92157
 1620117201	  884726043	0.01910	-0.01158	0.70148	0.71233	0.00000	-0.00851	0.00000	0.37888	0.11612	9.94372
 1620117201	  890726043	0.01668	-0.00175	0.70144	0.71252	0.00000	-0.00745	0.00000	0.39265	0.12989	9.91738
 1620117202	  347726043	0.01884	-0.01000	0.70057	0.71326	0.00000	0.00426	-0.00851	0.38188	0.13048	9.89344
 1620117202	  889726043	0.02361	-0.01091	0.69892	0.71472	0.00000	0.00000	-0.00958	0.39444	0.09038	9.93115
 1620117203	  267726043	0.01599	-0.01168	0.69783	0.71598	0.00000	-0.00745	-0.00851	0.39085	0.11253	9.91080
 1620117203	  337726043	0.01586	-0.00946	0.69757	0.71627	0.00000	-0.00851	-0.00958	0.38128	0.11073	9.89045
 1620117203	  711726043	0.01867	-0.00965	0.69620	0.71753	0.00000	0.00000	-0.00851	0.40881	0.12390	9.88865
 1620117203	  903474979	0.02002	-0.00797	0.69591	0.71780	0.00000	0.00426	-0.00958	0.40582	0.12210	9.92337
 1620117204	  195474979	0.01734	-0.00655	0.69480	0.71896	0.00000	0.00745	-0.00639	0.37769	0.13408	9.91678
 1620117204	  228474979	0.01739	-0.00908	0.69473	0.71900	0.00000	0.00639	-0.00639	0.37828	0.12450	9.92935
 1620117204	  341474979	0.01910	-0.01122	0.69443	0.71921	0.00000	0.00426	-0.00745	0.39564	0.13168	9.96467
 1620117204	  605474979	0.01801	-0.00965	0.69395	0.71973	0.00000	-0.00426	-0.00426	0.38966	0.13168	9.92696
 1620117204	  647474979	0.01803	-0.01163	0.69389	0.71975	0.00000	-0.00745	-0.00426	0.38666	0.11732	9.90721
 1620117204	  744474979	0.01804	-0.01023	0.69383	0.71984	0.00000	-0.00745	0.00000	0.41180	0.12450	9.92397
 1620117204	  918474979	0.02390	-0.01683	0.69372	0.71964	0.00000	-0.00745	0.00000	0.37828	0.12929	9.94851
 1620117205	  190474979	0.01690	-0.00870	0.69383	0.71988	0.00000	0.00000	0.00000	0.38128	0.12151	9.93294
 1620117205	  267474979	0.01953	-0.00934	0.69378	0.71985	0.00000	0.00000	0.00000	0.40223	0.11911	9.94611
 1620117205	  299474979	0.01849	-0.01015	0.69381	0.71984	0.00000	0.00000	0.00000	0.40043	0.12629	9.94851
 1620117205	  676474979	0.01594	-0.01148	0.69390	0.71980	0.00000	0.00639	0.00000	0.37769	0.11732	9.94851
 1620117205	  708474979	0.01778	-0.00935	0.69388	0.71981	0.00000	0.00639	0.00426	0.38247	0.13108	9.92995
 1620117205	  914474979	0.02049	-0.01144	0.69392	0.71966	0.00000	0.00532	0.00426	0.38966	0.13168	9.92995
 1620117206	  137474979	0.01773	-0.01043	0.69456	0.71914	0.00000	-0.00532	0.00639	0.39564	0.11492	9.94611
 1620117206	  231474979	0.02006	-0.00764	0.69467	0.71900	0.00000	-0.00639	0.00639	0.40701	0.12929	9.92875
 1620117206	  335876029	0.01980	-0.00728	0.69493	0.71876	0.00000	-0.00639	0.00745	0.39265	0.14904	9.94192
 1620117206	  927876029	0.01894	-0.00994	0.69632	0.71740	0.00000	0.00000	0.00851	0.40402	0.13048	9.93893
 1620117207	  330876029	-0.00050	0.01186	0.69675	0.71721	-0.08514	-0.94288	-0.18091	-0.53630	2.85209	0.42018
 1620117207	  714876029	0.00876	0.02747	0.70168	0.71191	-0.13090	-0.01703	0.16814	-2.52947	-2.77548	14.15093
 1620117207	  762876029	0.00235	0.03084	0.70379	0.70973	0.25115	0.32671	-0.04257	-0.93733	2.63302	8.89266
 1620117207	  910876029	-0.00210	0.03799	0.70364	0.70953	-0.15005	0.12664	-0.02448	-0.09876	1.12527	11.82077
 1620117208	  240876029	0.00119	0.02249	0.70280	0.71103	-0.00532	0.00000	0.01596	-0.12330	0.00000	9.73004
 1620117208	  322876029	0.00038	0.02567	0.70256	0.71116	0.01064	-0.00532	0.00851	-0.55725	0.45131	10.18493
 1620117208	  799029043	0.00025	0.02177	0.70253	0.71131	-0.00426	0.00000	0.00851	-0.30706	0.21308	9.78869
 1620117209	    8029043	-0.00228	0.02078	0.70256	0.71132	0.00000	0.00000	0.00532	-0.36152	0.17119	9.89643
 1620117209	  281029043	-0.00211	0.02143	0.70293	0.71093	0.00000	0.00000	0.00000	-0.33519	0.26396	9.88386
 1620117209	  334029043	-0.00064	0.02294	0.70287	0.71094	0.00000	0.00000	0.00000	-0.32382	0.32441	9.93594
 1620117209	  638029043	-0.00205	0.02184	0.70285	0.71099	0.00000	0.00000	-0.00532	-0.33160	0.28611	9.94791
