Sec	Nsec	OrientX	OrientY	OrientZ	OrientW	AngVelX	AngVelY	AngVelZ	AccX	AccY	AccZ
 1620116531	  239508932	0.02849	-0.02139	0.73113	0.68131	-0.00745	0.00000	-0.01171	0.70569	0.07721	9.90960
 1620116531	  346508932	0.02782	-0.02352	0.73062	0.68181	-0.00532	0.00426	-0.01596	0.70689	0.00120	9.92756
 1620116531	  427508932	0.02825	-0.02240	0.73007	0.68242	0.00000	0.00532	-0.01916	0.69671	0.06764	9.91499
 1620116531	  529508932	0.02590	-0.02410	0.72937	0.68320	-0.00745	0.00000	-0.02448	0.70629	0.00359	9.90242
 1620116531	  624508932	0.02708	-0.02374	0.72849	0.68410	0.00000	0.00426	-0.02980	0.72125	0.03112	9.91080
 1620116531	  733508932	0.02549	-0.02066	0.72736	0.68547	-0.00851	0.00000	-0.03299	0.67636	0.03172	9.89703
 1620116531	  834508932	0.02487	-0.02435	0.72609	0.68671	0.00000	0.00000	-0.03938	0.68414	0.00060	9.90361
 1620116531	  926508932	0.02740	-0.02224	0.72470	0.68815	0.00000	-0.00639	-0.04257	0.69492	0.05806	9.84376
 1620116532	   55222955	0.02035	-0.02351	0.72324	0.68989	0.00000	0.00000	-0.04576	0.69911	-0.01317	9.89823
 1620116532	  159222955	0.02633	-0.02228	0.72120	0.69186	0.00000	0.00000	-0.05215	0.66978	0.04310	9.88207
 1620116532	  279222955	0.02895	-0.02588	0.71886	0.69407	0.00532	0.00000	-0.05640	0.72724	0.01018	9.94192
 1620116532	  424222955	0.02823	-0.02176	0.71605	0.69713	0.00745	0.00000	-0.05640	0.70270	0.07901	9.91020
 1620116532	  522222955	0.02437	-0.02237	0.71433	0.69902	0.00000	0.00000	-0.05321	0.69492	0.02454	9.90002
 1620116532	  537222955	0.02525	-0.02353	0.71402	0.69927	0.00000	0.00000	-0.05321	0.68654	0.01676	9.92935
 1620116532	  652222955	0.02667	-0.02292	0.71189	0.70140	0.00000	0.00000	-0.05002	0.67696	0.05088	9.90601
 1620116532	  769222955	0.02825	-0.02303	0.70990	0.70335	0.00000	0.00426	-0.04576	0.71227	0.06584	9.95210
 1620116532	  845222955	0.02695	-0.02273	0.70876	0.70456	-0.01490	0.00000	-0.04257	0.69492	0.06225	9.92037
 1620116532	  956222955	0.02557	-0.02463	0.70720	0.70611	-0.01171	0.00000	-0.03938	0.70449	0.01556	9.91259
 1620116533	  255222955	0.02640	-0.02257	0.70685	0.70650	-0.01064	0.00426	-0.03831	0.68953	0.05447	9.91738
 1620116533	  315222955	0.03449	-0.00307	0.70224	0.71110	-0.01171	-0.00426	-0.02661	0.70330	0.02514	9.88865
